Date,Nominal Price,Net Change,Change (%),Bid,Ask,P/E(x),High,Low,Previous Close,Share Volume (000),Turnover (000),Lot Size
2016-05-26,0.37,0.005,1.333,0.37,0.375,82.22,0.37,0.37,0.375,60.0,22.0,5000.0
2016-05-25,0.375,0.0,0.0,0.37,0.375,83.33,0.375,0.375,0.375,2445.0,917.0,5000.0
2016-05-24,0.375,0.0,0.0,0.375,0.38,83.33,0.375,0.37,0.375,885.0,332.0,5000.0
2016-05-23,0.375,0.0,0.0,0.37,0.375,83.33,0.385,0.375,0.375,3930.0,1483.0,5000.0
2016-05-20,0.375,0.0,0.0,0.375,0.38,83.33,0.395,0.375,0.375,9900.0,3779.0,5000.0
2016-05-19,0.375,0.01,2.597,0.37,0.375,83.33,0.385,0.37,0.385,6430.0,2414.0,5000.0
2016-05-18,0.385,0.005,1.316,0.38,0.385,85.56,0.385,0.375,0.38,1390.0,528.0,5000.0
2016-05-17,0.38,0.0,0.0,0.38,0.385,84.44,0.385,0.38,0.38,620.0,236.0,5000.0
2016-05-16,0.38,0.0,0.0,0.38,0.385,84.44,0.385,0.365,0.38,3160.0,1181.0,5000.0
2016-05-13,0.38,0.005,1.299,0.375,0.38,84.44,0.38,0.38,0.385,1120.0,426.0,5000.0
2016-05-12,0.385,0.0,0.0,0.38,0.385,85.56,0.385,0.375,0.385,2405.0,923.0,5000.0
2016-05-11,0.385,0.01,2.667,0.375,0.385,85.56,0.385,0.375,0.375,3440.0,1298.0,5000.0
2016-05-10,0.375,0.015,3.846,0.375,0.38,83.33,0.39,0.375,0.39,7305.0,2799.0,5000.0
2016-05-09,0.39,0.0,0.0,0.385,0.39,86.67,0.395,0.385,0.39,1895.0,738.0,5000.0
2016-05-06,0.39,0.0,0.0,0.385,0.39,86.67,0.4,0.385,0.39,9670.0,3810.0,5000.0
2016-05-05,0.39,0.0,0.0,0.39,0.395,86.67,0.395,0.385,0.39,3095.0,1213.0,5000.0
2016-05-04,0.39,0.005,1.299,0.385,0.39,86.67,0.4,0.385,0.385,11840.0,4627.0,5000.0
2016-05-03,0.385,0.005,1.316,0.38,0.385,85.56,0.39,0.38,0.38,4610.0,1774.0,5000.0
2016-04-29,0.38,0.0,0.0,0.375,0.38,84.44,0.385,0.375,0.38,2285.0,863.0,5000.0
2016-04-28,0.38,0.0,0.0,0.38,0.385,84.44,0.39,0.38,0.38,1385.0,530.0,5000.0
2016-04-27,0.38,0.0,0.0,0.38,0.39,84.44,0.395,0.38,0.38,3870.0,1504.0,5000.0
2016-04-26,0.38,0.005,1.333,0.38,0.385,84.44,0.385,0.38,0.375,2880.0,1105.0,5000.0
2016-04-25,0.375,0.005,1.351,0.375,0.38,83.33,0.39,0.375,0.37,10930.0,4138.0,5000.0
2016-04-22,0.37,0.005,1.333,0.37,0.375,82.22,0.375,0.37,0.375,4620.0,1710.0,5000.0
2016-04-21,0.375,0.005,1.316,0.375,0.38,83.33,0.385,0.375,0.38,2310.0,875.0,5000.0
2016-04-20,0.38,0.005,1.333,0.37,0.38,84.44,0.38,0.37,0.375,3625.0,1356.0,5000.0
2016-04-19,0.375,0.005,1.316,0.375,0.38,83.33,0.38,0.375,0.38,3060.0,1148.0,5000.0
2016-04-18,0.38,0.005,1.299,0.375,0.385,84.44,0.385,0.375,0.385,4470.0,1696.0,5000.0
2016-04-15,0.385,0.005,1.282,0.38,0.385,85.56,0.385,0.38,0.39,1240.0,477.0,5000.0
2016-04-14,0.39,0.005,1.299,0.385,0.39,86.67,0.395,0.385,0.385,2030.0,789.0,5000.0
2016-04-13,0.385,0.005,1.282,0.385,0.39,85.56,0.39,0.385,0.39,1745.0,672.0,5000.0
2016-04-12,0.39,0.005,1.266,0.39,0.395,86.67,0.4,0.385,0.395,9835.0,3796.0,5000.0
2016-04-11,0.395,0.01,2.469,0.39,0.395,87.78,0.4,0.39,0.405,3270.0,1287.0,5000.0
2016-04-08,0.405,0.02,5.195,0.4,0.405,90.0,0.405,0.38,0.385,4258.0,1675.0,5000.0
2016-04-07,0.385,0.0,0.0,0.38,0.385,85.56,0.385,0.38,0.385,1355.0,521.0,5000.0
2016-04-06,0.385,0.0,0.0,0.385,0.39,85.56,0.39,0.38,0.385,625.0,240.0,5000.0
2016-04-05,0.385,0.0,0.0,0.385,0.39,85.56,0.395,0.385,0.385,785.0,306.0,5000.0
2016-04-01,0.385,0.01,2.532,0.385,0.395,85.56,0.395,0.385,0.395,1755.0,679.0,5000.0
2016-03-31,0.395,0.0,0.0,0.39,0.395,87.78,0.4,0.39,0.395,1525.0,596.0,5000.0
2016-03-30,0.395,0.01,2.597,0.385,0.395,87.78,0.4,0.385,0.385,1700.0,668.0,5000.0
2016-03-29,0.385,0.01,2.532,0.385,0.39,85.56,0.395,0.385,0.395,4170.0,1617.0,5000.0
2016-03-24,0.395,0.005,1.25,0.395,0.4,87.78,0.4,0.395,0.4,1180.0,467.0,5000.0
2016-03-23,0.4,0.01,2.439,0.4,0.405,88.89,0.41,0.39,0.41,37125.0,14880.0,5000.0
2016-03-22,0.41,0.0,0.0,0.405,0.41,91.11,0.425,0.4,0.41,23435.0,9705.0,5000.0
2016-03-21,0.41,0.025,6.494,0.405,0.41,91.11,0.415,0.38,0.385,36955.0,14544.0,5000.0
2016-03-18,0.385,0.0,0.0,0.38,0.385,85.56,0.385,0.375,0.385,4390.0,1662.0,5000.0
2016-03-17,0.385,0.005,1.282,0.38,0.385,85.56,0.395,0.38,0.39,4265.0,1634.0,5000.0
2016-03-16,0.39,0.015,3.704,0.39,0.395,86.67,0.405,0.385,0.405,4340.0,1711.0,5000.0
2016-03-15,0.405,0.01,2.532,0.4,0.405,90.0,0.41,0.395,0.395,23185.0,9220.0,5000.0
2016-03-14,0.395,0.005,1.282,0.395,0.4,87.78,0.41,0.39,0.39,44470.0,17556.0,5000.0
2016-03-11,0.39,0.005,1.299,0.385,0.39,86.67,0.395,0.38,0.385,2050.0,796.0,5000.0
2016-03-10,0.385,0.005,1.282,0.38,0.385,85.56,0.39,0.38,0.39,2060.0,793.0,5000.0
2016-03-09,0.39,0.005,1.266,0.385,0.39,86.67,0.4,0.385,0.395,5365.0,2107.0,5000.0
2016-03-08,0.395,0.015,3.947,0.39,0.4,87.78,0.4,0.37,0.38,6020.0,2296.0,5000.0
2016-03-07,0.38,0.005,1.299,0.375,0.38,84.44,0.385,0.375,0.385,2575.0,972.0,5000.0
2016-03-04,0.39,0.005,1.299,0.385,0.39,86.67,0.395,0.385,0.385,1235.0,482.0,5000.0
2016-03-03,0.39,0.01,2.5,0.385,0.39,86.67,0.395,0.385,0.4,1015.0,393.0,5000.0
2016-03-02,0.39,0.015,4.0,0.39,0.395,86.67,0.405,0.38,0.375,11855.0,4707.0,5000.0
2016-03-01,0.375,0.005,1.316,0.375,0.38,83.33,0.38,0.37,0.38,3180.0,1193.0,5000.0
2016-02-29,0.38,0.015,3.797,0.375,0.38,84.44,0.4,0.38,0.395,2390.0,923.0,5000.0
